Report Type,RDS Extended Support Check
Generated,2025-12-11 09:50:17
Total Extended Support Instances,109
Total Upcoming Extended Support Instances (within 30 days),0
Estimated Monthly Cost,"$22,630.00"
Estimated Annual Cost,"$271,560.00"

Environment,Instance ID,Engine,Version,Instance Class,vCPUs,Instance Status,Support Status,Support End Date,Support Year,Monthly Cost (USD)
PROD,ap1grtymj5ssngc,postgres,12.22,db.t3.micro,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,apk0j98c5wb4sn,postgres,12.22,db.t3.micro,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,applicant-transfer-service-db-prod-1,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
PROD,applicant-transfer-service-db-prod-2,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
PROD,c4t-prototyping-prod-reader,aurora-postgresql,12.22,db.r5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,c4t-prototyping-prod-writer,aurora-postgresql,12.22,db.r5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,call-transcription-analysis-prod-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,cdp-prototyping-prod-reader,aurora-postgresql,12.22,db.r5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,cdp-prototyping-prod-writer,aurora-postgresql,12.22,db.r5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,comms-subscriptions-aurora-pg-cluster-prod-instance-a,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,data-service-aurora-pg-primary-production,aurora-postgresql,12.22,db.r5.xlarge,4,available,In Extended Support,2024-11-14,Year 2,$584.00
PROD,data-service-aurora-pg-replica-production,aurora-postgresql,12.22,db.r5.xlarge,4,available,In Extended Support,2024-11-14,Year 2,$584.00
PROD,employee-profile-service-db-1,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
PROD,employee-profile-service-db-2,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
PROD,epeszt1fl8zhft,postgres,12.22,db.m5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,gp16jpejsbrn87g,postgres,12.22,db.m5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,gp1cr6izwj3xd3x,postgres,12.22,db.m5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,gp1dcyceg758x6,postgres,12.22,db.m5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,gp1mlqzc0u7dm1l,postgres,12.22,db.m5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,gp1mqh8a1hnt1fi,postgres,12.22,db.m5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,model-m-academic-aurora-pg-cluster-production-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,model-m-prod-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,model-m-prod-2,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,nc-walmart-event-consumer-service-aurora-pg-cluster-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,pcs-db-serverless-v2-serverlessv2instance-vgmswibjwals,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,platform-eligibility-db-prod-instance-a,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,self-reported-data-service-prod,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,sp1xijpjtx0medl,postgres,12.22,db.m5.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,tonic-metadata-database-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
PROD,transaction-service-production,aurora-postgresql,12.22,db.r4.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,transaction-service-production-replica,aurora-postgresql,12.22,db.r4.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
PROD,user-profile-service-production-cluster,aurora-postgresql,11.21,db.r5.xlarge,4,available,In Extended Support,2023-11-09,Year 3,$584.00
PROD,user-profile-service-production-cluster-replica,aurora-postgresql,11.21,db.r5.xlarge,4,available,In Extended Support,2023-11-09,Year 3,$584.00
